HOG	OG	Gene Tree Parent Clade	DC3000_protein_12_2025	plate25.C2.annotation
N0.HOG0000277	OG0000124	n0	WP_003380966.1, WP_011105576.1, WP_005762738.1	DAKCFMEO_00367
N0.HOG0000278	OG0000125	n0	WP_003382014.1	DAKCFMEO_00638, DAKCFMEO_00971, DAKCFMEO_02599
N0.HOG0000279	OG0000126	n1	WP_003382103.1	DAKCFMEO_02020
N0.HOG0000280	OG0000126	n2	WP_161797788.1	DAKCFMEO_02495
N0.HOG0000281	OG0000127	n1	WP_011104335.1	DAKCFMEO_04025
N0.HOG0000282	OG0000127	n2	WP_003382491.1	DAKCFMEO_00714
N0.HOG0000283	OG0000128	n1	WP_003383243.1	DAKCFMEO_00485
N0.HOG0000284	OG0000128	n2	WP_003383244.1	DAKCFMEO_00484
N0.HOG0000285	OG0000129	n1	WP_011105579.1	DAKCFMEO_03092
N0.HOG0000286	OG0000129	n2	WP_003425052.1	DAKCFMEO_01039
N0.HOG0000287	OG0000130	n1	WP_005614190.1	DAKCFMEO_02804
N0.HOG0000288	OG0000130	n2	WP_011104937.1	DAKCFMEO_01360
N0.HOG0000289	OG0000131	n0	WP_005615570.1	DAKCFMEO_03009, DAKCFMEO_02206, DAKCFMEO_00851
N0.HOG0000290	OG0000132	n1	WP_005616684.1	DAKCFMEO_03041
N0.HOG0000291	OG0000132	n2	WP_007247202.1	DAKCFMEO_01939
N0.HOG0000292	OG0000133	n0	WP_046463874.1, WP_011105577.1, WP_005739535.1	DAKCFMEO_00366
N0.HOG0000293	OG0000134	n1	WP_011104096.1	DAKCFMEO_00881
N0.HOG0000294	OG0000134	n2	WP_005739890.1	DAKCFMEO_01910
N0.HOG0000295	OG0000135	n1	WP_005740380.1	DAKCFMEO_02675
N0.HOG0000296	OG0000135	n2	WP_011104666.1	DAKCFMEO_01880
N0.HOG0000297	OG0000136	n1	WP_005760706.1	DAKCFMEO_04380
N0.HOG0000298	OG0000136	n2	WP_005768316.1	DAKCFMEO_01554
N0.HOG0000299	OG0000137	n1	WP_005762626.1	DAKCFMEO_01161
N0.HOG0000300	OG0000137	n2	WP_007244776.1	DAKCFMEO_00630
N0.HOG0000301	OG0000138	n1	WP_005765176.1	DAKCFMEO_04609
N0.HOG0000302	OG0000138	n2	WP_005762731.1	DAKCFMEO_03218
N0.HOG0000303	OG0000139	n0	WP_046464032.1, WP_005762766.1, WP_011104377.1	DAKCFMEO_01951
N0.HOG0000304	OG0000140	n0	WP_005762818.1, WP_005764409.1, WP_007246690.1	DAKCFMEO_00899
N0.HOG0000305	OG0000141	n0	WP_005764184.1, WP_005762820.1, WP_011104351.1	DAKCFMEO_02755
N0.HOG0000306	OG0000142	n0	WP_010213170.1, WP_005762824.1, WP_005762826.1	DAKCFMEO_04937
N0.HOG0000307	OG0000143	n1	WP_005763054.1	DAKCFMEO_04865
N0.HOG0000308	OG0000143	n2	WP_005764931.1	DAKCFMEO_00097
N0.HOG0000309	OG0000144	n0	WP_011104478.1, WP_011104277.1, WP_005763528.1	DAKCFMEO_02146
N0.HOG0000310	OG0000145	n0	WP_005763634.1	DAKCFMEO_05034, DAKCFMEO_00937, DAKCFMEO_05032
N0.HOG0000311	OG0000146	n1	WP_005763680.1	DAKCFMEO_02959
N0.HOG0000312	OG0000146	n2	WP_007246877.1	DAKCFMEO_00875
N0.HOG0000313	OG0000147	n0	WP_074846395.1, WP_011103154.1, WP_011103153.1, WP_005763718.1	
N0.HOG0000314	OG0000148	n1	WP_005765147.1	DAKCFMEO_04629
N0.HOG0000315	OG0000148	n2	WP_005763731.1	DAKCFMEO_02937
N0.HOG0000316	OG0000149	n1	WP_005763926.1	DAKCFMEO_01476
N0.HOG0000317	OG0000149	n2	WP_005763902.1	DAKCFMEO_01487
N0.HOG0000318	OG0000150	n1	WP_005763930.1	DAKCFMEO_03315
N0.HOG0000319	OG0000150	n2	WP_005768336.1	DAKCFMEO_01568
N0.HOG0000320	OG0000151	n1	WP_011103331.1	DAKCFMEO_01167
N0.HOG0000321	OG0000151	n2	WP_005764049.1	DAKCFMEO_02981
N0.HOG0000322	OG0000152	n1	WP_005765569.1	DAKCFMEO_05129
N0.HOG0000323	OG0000152	n2	WP_005764405.1	DAKCFMEO_03874
N0.HOG0000324	OG0000153	n1	WP_005764834.1	DAKCFMEO_00167
N0.HOG0000325	OG0000153	n2	WP_011103985.1	DAKCFMEO_03851
N0.HOG0000326	OG0000154	n1	WP_005764926.1	DAKCFMEO_00099
N0.HOG0000327	OG0000154	n2	WP_011105230.1	DAKCFMEO_04863
N0.HOG0000328	OG0000155	n0	WP_005764944.1, WP_044393502.1, WP_011104352.1	DAKCFMEO_00092
N0.HOG0000329	OG0000156	n1	WP_005765115.1	DAKCFMEO_04651
N0.HOG0000330	OG0000156	n2	WP_011105083.1	DAKCFMEO_03083
N0.HOG0000331	OG0000157	n0	WP_005765137.1	DAKCFMEO_04635, DAKCFMEO_04427, DAKCFMEO_04420
N0.HOG0000332	OG0000158	n0	WP_005765139.1	DAKCFMEO_04631, DAKCFMEO_01712, DAKCFMEO_04633
N0.HOG0000333	OG0000159	n1	WP_005766477.1	DAKCFMEO_00465
N0.HOG0000334	OG0000159	n2	WP_005765488.1	DAKCFMEO_02420
N0.HOG0000335	OG0000160	n1	WP_005765650.1	DAKCFMEO_00793
N0.HOG0000336	OG0000160	n2	WP_005765976.1	DAKCFMEO_03200
N0.HOG0000337	OG0000161	n0	WP_005766100.1, WP_005767830.1, WP_005769505.1	DAKCFMEO_01878
N0.HOG0000338	OG0000162	n1	WP_005766595.1	DAKCFMEO_00379
N0.HOG0000339	OG0000162	n2	WP_011103728.1	DAKCFMEO_02365
N0.HOG0000340	OG0000163	n1	WP_005766669.1	DAKCFMEO_02275
N0.HOG0000341	OG0000163	n2	WP_011104674.1	DAKCFMEO_04394
N0.HOG0000342	OG0000164	n1	WP_005767480.1	DAKCFMEO_04471
N0.HOG0000343	OG0000164	n2	WP_007246896.1	DAKCFMEO_00833
N0.HOG0000344	OG0000165	n1	WP_011103991.1	DAKCFMEO_00829
N0.HOG0000345	OG0000165	n2	WP_005767488.1	DAKCFMEO_04475
N0.HOG0000346	OG0000166	n1	WP_057443137.1	DAKCFMEO_01580
N0.HOG0000347	OG0000166	n2	WP_005767577.1	DAKCFMEO_00028
N0.HOG0000348	OG0000167	n1	WP_024666071.1	DAKCFMEO_03747
N0.HOG0000349	OG0000167	n2	WP_005767725.1	DAKCFMEO_04499
N0.HOG0000350	OG0000168	n0	WP_005768035.1, WP_011104827.1, WP_011104545.1	DAKCFMEO_02834
N0.HOG0000351	OG0000169	n1	WP_011105375.1	DAKCFMEO_05151
N0.HOG0000352	OG0000169	n2	WP_005768450.1	DAKCFMEO_02199
N0.HOG0000353	OG0000170	n1	WP_011104100.1	DAKCFMEO_00889
N0.HOG0000354	OG0000170	n2	WP_005768691.1	DAKCFMEO_00291
N0.HOG0000355	OG0000171	n1	WP_011104278.1	DAKCFMEO_00326
N0.HOG0000356	OG0000171	n2	WP_005768708.1	DAKCFMEO_00281
N0.HOG0000357	OG0000172	n1	WP_005768747.1	DAKCFMEO_02786
N0.HOG0000358	OG0000172	n2	WP_007244323.1	DAKCFMEO_02603
N0.HOG0000359	OG0000173	n0	WP_005768762.1	DAKCFMEO_03373, DAKCFMEO_02337, DAKCFMEO_00301
N0.HOG0000360	OG0000174	n1	WP_011104015.1	DAKCFMEO_00874
N0.HOG0000361	OG0000174	n2	WP_005769204.1	DAKCFMEO_04345
N0.HOG0000362	OG0000175	n0	WP_005769588.1	DAKCFMEO_01824, DAKCFMEO_02441, DAKCFMEO_04572
N0.HOG0000363	OG0000176	n1	WP_011104221.1	DAKCFMEO_03823
N0.HOG0000364	OG0000176	n2	WP_005769685.1	DAKCFMEO_02710
N0.HOG0000365	OG0000177	n1	WP_005769699.1	DAKCFMEO_02703
N0.HOG0000366	OG0000177	n2	WP_046463309.1	DAKCFMEO_02702
N0.HOG0000367	OG0000178	n1	WP_011104862.1	DAKCFMEO_04474
N0.HOG0000368	OG0000178	n2	WP_005770308.1	DAKCFMEO_00830
N0.HOG0000369	OG0000179	n1	WP_011104863.1	DAKCFMEO_04473
N0.HOG0000370	OG0000179	n2	WP_005770310.1	DAKCFMEO_00831
N0.HOG0000371	OG0000180	n1	WP_005770312.1	DAKCFMEO_00832
N0.HOG0000372	OG0000180	n2	WP_044393615.1	DAKCFMEO_04472
N0.HOG0000373	OG0000181	n1	WP_005770699.1	DAKCFMEO_02688
N0.HOG0000374	OG0000181	n2	WP_162839055.1	DAKCFMEO_04414
N0.HOG0000375	OG0000182	n0	WP_005770701.1	DAKCFMEO_02687, DAKCFMEO_03828, DAKCFMEO_02097
N0.HOG0000376	OG0000183	n1	WP_007245868.1	DAKCFMEO_00958
N0.HOG0000377	OG0000183	n2	WP_005770794.1	DAKCFMEO_02431
N0.HOG0000378	OG0000184	n0	WP_005771032.1	DAKCFMEO_03337, DAKCFMEO_02450, DAKCFMEO_02051
N0.HOG0000379	OG0000185	n1	WP_007244213.1	DAKCFMEO_02657
N0.HOG0000380	OG0000185	n2	WP_005771340.1	DAKCFMEO_02659
N0.HOG0000381	OG0000186	n1	WP_005771397.1	DAKCFMEO_03451
N0.HOG0000382	OG0000186	n2	WP_007246576.1	DAKCFMEO_05252
N0.HOG0000383	OG0000187	n1	WP_011105467.1	DAKCFMEO_05250
N0.HOG0000384	OG0000187	n2	WP_005771402.1	DAKCFMEO_03447
N0.HOG0000385	OG0000188	n0	WP_005771485.1	DAKCFMEO_01338, DAKCFMEO_02878, DAKCFMEO_02411
N0.HOG0000386	OG0000189	n0	WP_161797801.1, WP_005888854.1, WP_011103339.1	DAKCFMEO_01789
N0.HOG0000387	OG0000190	n1	WP_007243725.1	DAKCFMEO_03222
N0.HOG0000388	OG0000190	n2	WP_007244715.1	DAKCFMEO_00727
N0.HOG0000389	OG0000191	n1	WP_007244046.1	DAKCFMEO_02743
N0.HOG0000390	OG0000191	n2	WP_011104599.1	DAKCFMEO_04662
N0.HOG0000391	OG0000192	n1	WP_011103244.1	DAKCFMEO_01733
N0.HOG0000392	OG0000192	n2	WP_007244130.1	DAKCFMEO_03452
N0.HOG0000393	OG0000193	n1	WP_007244335.1	DAKCFMEO_02583
N0.HOG0000394	OG0000193	n2	WP_011103933.1	DAKCFMEO_00729
N0.HOG0000395	OG0000194	n0	WP_007244877.1	DAKCFMEO_00852, DAKCFMEO_02208, DAKCFMEO_03008
N0.HOG0000396	OG0000195	n1	WP_007245058.1	DAKCFMEO_04069
N0.HOG0000397	OG0000195	n2	WP_046463536.1	DAKCFMEO_02435
N0.HOG0000398	OG0000196	n1	WP_007245293.1	DAKCFMEO_04809
N0.HOG0000399	OG0000196	n2	WP_007246230.1	DAKCFMEO_00376
N0.HOG0000400	OG0000197	n1	WP_011103412.1	DAKCFMEO_03453
N0.HOG0000401	OG0000197	n2	WP_007245496.1	DAKCFMEO_01732
N0.HOG0000402	OG0000198	n0	WP_007245546.1	DAKCFMEO_03706, DAKCFMEO_00078, DAKCFMEO_03869
N0.HOG0000403	OG0000199	n1	WP_046463482.1	DAKCFMEO_03931
N0.HOG0000404	OG0000199	n2	WP_007246084.1	DAKCFMEO_01427
N0.HOG0000405	OG0000200	n1	WP_007246194.1	DAKCFMEO_00293
N0.HOG0000406	OG0000200	n2	WP_011104951.1	DAKCFMEO_00282
N0.HOG0000407	OG0000201	n1	WP_007246667.1	DAKCFMEO_01344
N0.HOG0000408	OG0000201	n2	WP_011105194.1	DAKCFMEO_03605
N0.HOG0000409	OG0000202	n0	WP_011103472.1, WP_007246890.1, WP_011104003.1	DAKCFMEO_02753
N0.HOG0000410	OG0000203	n1	WP_011105482.1	DAKCFMEO_01629
N0.HOG0000411	OG0000203	n2	WP_007246952.1	DAKCFMEO_05287
N0.HOG0000412	OG0000204	n0	WP_007247035.1, WP_011104358.1, WP_046463772.1	DAKCFMEO_02090
N0.HOG0000413	OG0000205	n1	WP_011104056.1	DAKCFMEO_01330
N0.HOG0000414	OG0000205	n2	WP_007247117.1	DAKCFMEO_02014
N0.HOG0000415	OG0000206	n0	WP_159229456.1, WP_164923181.1, WP_007247571.1, WP_010213957.1	
N0.HOG0000416	OG0000207	n0	WP_007249562.1, WP_011104226.1, WP_080394021.1	DAKCFMEO_02425
N0.HOG0000417	OG0000208	n1	WP_010201125.1	DAKCFMEO_04082
N0.HOG0000418	OG0000208	n2	WP_046463740.1	DAKCFMEO_01075
N0.HOG0000419	OG0000209	n0	WP_010201131.1	DAKCFMEO_04081, DAKCFMEO_04446, DAKCFMEO_00784
N0.HOG0000420	OG0000210	n0	WP_010202134.1	DAKCFMEO_03690, DAKCFMEO_03837, DAKCFMEO_03836
N0.HOG0000421	OG0000211	n1	WP_010206379.1	DAKCFMEO_04606
N0.HOG0000422	OG0000211	n2	WP_046463494.1	DAKCFMEO_01060
N0.HOG0000423	OG0000212	n0	WP_010208255.1, WP_032645112.1	DAKCFMEO_04276, DAKCFMEO_05173
N0.HOG0000424	OG0000213	n1	WP_010208763.1	DAKCFMEO_02999
N0.HOG0000425	OG0000213	n2	WP_011103504.1	DAKCFMEO_02997
N0.HOG0000426	OG0000214	n0	WP_011103857.1, WP_057443138.1, WP_010209623.1	DAKCFMEO_02673
N0.HOG0000427	OG0000215	n0	WP_010211386.1	DAKCFMEO_01452, DAKCFMEO_00993, DAKCFMEO_03050
N0.HOG0000428	OG0000216	n0	WP_011103120.1, WP_011104021.1, WP_010213088.1, WP_011104469.1	
N0.HOG0000429	OG0000217	n1	WP_011103622.1	DAKCFMEO_00039
N0.HOG0000430	OG0000217	n2	WP_010218951.1	DAKCFMEO_02092
N0.HOG0000431	OG0000218	n0	WP_010220706.1, WP_011103557.1, WP_011107018.1	DAKCFMEO_00745
N0.HOG0000432	OG0000219	n0	WP_011105542.1, WP_046463610.1, WP_011102967.1	DAKCFMEO_01556
N0.HOG0000433	OG0000220	n1	WP_011103039.1	DAKCFMEO_01917
N0.HOG0000434	OG0000220	n2	WP_011103031.1	DAKCFMEO_03830
N0.HOG0000435	OG0000221	n1	WP_011103086.1	DAKCFMEO_02080
N0.HOG0000436	OG0000221	n2	WP_011103055.1	DAKCFMEO_05182
N0.HOG0000437	OG0000222	n0	WP_044390209.1, WP_011104387.1, WP_011103057.1	DAKCFMEO_04481
N0.HOG0000438	OG0000223	n1	WP_011103091.1	DAKCFMEO_05161
N0.HOG0000439	OG0000223	n2	WP_011104637.1	DAKCFMEO_04552
N0.HOG0000440	OG0000224	n1	WP_011103466.1	DAKCFMEO_00950
N0.HOG0000441	OG0000224	n2	WP_011103142.1	DAKCFMEO_02943
N0.HOG0000442	OG0000225	n1	WP_011103162.1	DAKCFMEO_02917
N0.HOG0000443	OG0000225	n2	WP_011103167.1	DAKCFMEO_02915
N0.HOG0000444	OG0000226	n1	WP_011104135.1	DAKCFMEO_01106
N0.HOG0000445	OG0000226	n2	WP_011103237.1	DAKCFMEO_03569
N0.HOG0000446	OG0000227	n0	WP_011104119.1, WP_011104933.1, WP_011103241.1	DAKCFMEO_03578
N0.HOG0000447	OG0000228	n1	WP_011103351.1	DAKCFMEO_00501
N0.HOG0000448	OG0000228	n2	WP_011103296.1	DAKCFMEO_00524
N0.HOG0000449	OG0000229	n1	WP_046463934.1	DAKCFMEO_02288
N0.HOG0000450	OG0000229	n2	WP_011103336.1	DAKCFMEO_01791
N0.HOG0000451	OG0000230	n1	WP_011103402.1	DAKCFMEO_01725
N0.HOG0000452	OG0000230	n2	WP_011104030.1	DAKCFMEO_01404
N0.HOG0000453	OG0000231	n0	WP_011103411.1	DAKCFMEO_01731, DAKCFMEO_03460, DAKCFMEO_03454
N0.HOG0000454	OG0000232	n0	WP_011104730.1, WP_011103519.1, WP_011105177.1	DAKCFMEO_04286
N0.HOG0000455	OG0000233	n1	WP_011104918.1	DAKCFMEO_00247
N0.HOG0000456	OG0000233	n2	WP_011103526.1	DAKCFMEO_01764
N0.HOG0000457	OG0000234	n1	WP_011103804.1	DAKCFMEO_02581
N0.HOG0000458	OG0000234	n2	WP_011103647.1	DAKCFMEO_00018
N0.HOG0000459	OG0000235	n1	WP_011103648.1	DAKCFMEO_04410
N0.HOG0000460	OG0000235	n2	WP_046463927.1	DAKCFMEO_04409
N0.HOG0000461	OG0000236	n0	WP_011103754.1	DAKCFMEO_02462, DAKCFMEO_00061, DAKCFMEO_02948
N0.HOG0000462	OG0000237	n0	WP_011104790.1, WP_011103843.1, WP_011104522.1	DAKCFMEO_02815
N0.HOG0000463	OG0000238	n1	WP_011103898.1	DAKCFMEO_00672
N0.HOG0000464	OG0000238	n2	WP_046463456.1	DAKCFMEO_02578
N0.HOG0000465	OG0000239	n0	WP_011105485.1, WP_011103919.1, WP_011104077.1	DAKCFMEO_01632
N0.HOG0000466	OG0000240	n1	WP_011103969.1	DAKCFMEO_00801
N0.HOG0000467	OG0000240	n2	WP_011103981.1	DAKCFMEO_03846
N0.HOG0000468	OG0000241	n1	WP_011105359.1	DAKCFMEO_05146
N0.HOG0000469	OG0000241	n2	WP_011104032.1	DAKCFMEO_01373
N0.HOG0000470	OG0000242	n1	WP_011104073.1	DAKCFMEO_01157
N0.HOG0000471	OG0000242	n2	WP_011105491.1	DAKCFMEO_01636
N0.HOG0000472	OG0000243	n0	WP_044391024.1, WP_011107020.1, WP_011104266.1	DAKCFMEO_03926
N0.HOG0000473	OG0000244	n1	WP_011105506.1	DAKCFMEO_05301
N0.HOG0000474	OG0000244	n2	WP_011104281.1	DAKCFMEO_04071
N0.HOG0000475	OG0000245	n1	WP_011105352.1	DAKCFMEO_05135
N0.HOG0000476	OG0000245	n2	WP_011104315.1	DAKCFMEO_03994
N0.HOG0000477	OG0000246	n1	WP_011104486.1	DAKCFMEO_01437
N0.HOG0000478	OG0000246	n2	WP_011105357.1	DAKCFMEO_05142
N0.HOG0000479	OG0000247	n1	WP_011104902.1	DAKCFMEO_00189
N0.HOG0000480	OG0000247	n2	WP_011104900.1	DAKCFMEO_00187
N0.HOG0000481	OG0000248	n0	WP_011104971.1	DAKCFMEO_00320, DAKCFMEO_04040, DAKCFMEO_00319
N0.HOG0000482	OG0000249	n0	WP_011104979.1	DAKCFMEO_03858, DAKCFMEO_03859, DAKCFMEO_00341
N0.HOG0000483	OG0000250	n1	WP_046464042.1	DAKCFMEO_02650
N0.HOG0000484	OG0000250	n2	WP_011105223.1	DAKCFMEO_04843
N0.HOG0000485	OG0000251	n1	WP_011105478.1	DAKCFMEO_04452
N0.HOG0000486	OG0000251	n2	WP_046463440.1	DAKCFMEO_00743
N0.HOG0000487	OG0000252	n0	WP_011105562.1	DAKCFMEO_01224, DAKCFMEO_03073, DAKCFMEO_05297
N0.HOG0000488	OG0000253	n1	WP_081026912.1	DAKCFMEO_00753
N0.HOG0000489	OG0000253	n2	WP_046463398.1	DAKCFMEO_03256
N0.HOG0000490	OG0000254	n0	WP_046463416.1	DAKCFMEO_00198, DAKCFMEO_04308, DAKCFMEO_03818
N0.HOG0000491	OG0000255	n0	WP_086005074.1, WP_122722792.1, WP_149032136.1	DAKCFMEO_04044
N0.HOG0000492	OG0000256	n0		DAKCFMEO_00544, DAKCFMEO_04736, DAKCFMEO_02220, DAKCFMEO_01778
N0.HOG0000493	OG0000257	n0		DAKCFMEO_00977, DAKCFMEO_02071, DAKCFMEO_03371, DAKCFMEO_05236
N0.HOG0000494	OG0000258	-	WP_002552853.1	DAKCFMEO_02621, DAKCFMEO_02446
N0.HOG0000495	OG0000259	-	WP_002554489.1	DAKCFMEO_01049, DAKCFMEO_04303
N0.HOG0000496	OG0000260	-	WP_002554843.1	DAKCFMEO_00754, DAKCFMEO_00151
N0.HOG0000497	OG0000261	-	WP_011104890.1, WP_002554971.1	DAKCFMEO_00305
N0.HOG0000498	OG0000262	-	WP_005764289.1, WP_002555370.1	DAKCFMEO_03635
N0.HOG0000499	OG0000263	-	WP_002556012.1, WP_011103604.1	DAKCFMEO_02674
N0.HOG0000500	OG0000264	-	WP_003382726.1, WP_002556051.1	DAKCFMEO_04192
N0.HOG0000501	OG0000265	-	WP_003314356.1	DAKCFMEO_01752, DAKCFMEO_03136
N0.HOG0000502	OG0000266	-	WP_003317528.1	DAKCFMEO_03086, DAKCFMEO_01593
N0.HOG0000503	OG0000267	-	WP_003318100.1	DAKCFMEO_03783, DAKCFMEO_01994
N0.HOG0000504	OG0000268	-	WP_003319037.1, WP_011104860.1	DAKCFMEO_00074
N0.HOG0000505	OG0000269	-	WP_003344338.1, WP_003319387.1	DAKCFMEO_02874
N0.HOG0000506	OG0000270	-	WP_003345152.1, WP_011104992.1	DAKCFMEO_00378
N0.HOG0000507	OG0000271	-	WP_003373363.1, WP_005767301.1	DAKCFMEO_02144
N0.HOG0000508	OG0000272	-	WP_003375709.1	DAKCFMEO_01469, DAKCFMEO_01085
N0.HOG0000509	OG0000273	-	WP_003375712.1	DAKCFMEO_01086, DAKCFMEO_01470
N0.HOG0000510	OG0000274	-	WP_003375716.1	DAKCFMEO_01088, DAKCFMEO_01472
N0.HOG0000511	OG0000275	-	WP_003375846.1	DAKCFMEO_03011, DAKCFMEO_02201
N0.HOG0000512	OG0000276	-	WP_003375849.1	DAKCFMEO_00850, DAKCFMEO_03010
N0.HOG0000513	OG0000277	-	WP_007245604.1, WP_003375897.1	DAKCFMEO_02984
N0.HOG0000514	OG0000278	-	WP_007249559.1, WP_003376950.1	DAKCFMEO_00893
N0.HOG0000515	OG0000279	-	WP_003377112.1	DAKCFMEO_04925, DAKCFMEO_04581
N0.HOG0000516	OG0000280	-	WP_003377885.1, WP_046463942.1	DAKCFMEO_01255
N0.HOG0000517	OG0000281	-	WP_003378111.1	DAKCFMEO_04063, DAKCFMEO_04646
N0.HOG0000518	OG0000282	-	WP_003378884.1	DAKCFMEO_05075, DAKCFMEO_03547
N0.HOG0000519	OG0000283	-	WP_003379146.1, WP_011104928.1	DAKCFMEO_03563
N0.HOG0000520	OG0000284	-	WP_005762795.1, WP_003379656.1	DAKCFMEO_01792
N0.HOG0000521	OG0000285	-	WP_003379921.1, WP_005769283.1	DAKCFMEO_02958
N0.HOG0000522	OG0000286	-	WP_005764515.1, WP_003380009.1	DAKCFMEO_02091
N0.HOG0000523	OG0000287	-	WP_003380444.1	DAKCFMEO_04087, DAKCFMEO_02791
N0.HOG0000524	OG0000288	-	WP_003380449.1, WP_011105154.1	DAKCFMEO_04083
N0.HOG0000525	OG0000289	-	WP_005763805.1, WP_003380768.1	DAKCFMEO_02907
N0.HOG0000526	OG0000290	-	WP_003380853.1	DAKCFMEO_04703, DAKCFMEO_03814
N0.HOG0000527	OG0000291	-	WP_003381368.1, WP_011104330.1	DAKCFMEO_05130
N0.HOG0000528	OG0000292	-	WP_011103415.1, WP_003381514.1	DAKCFMEO_00129
N0.HOG0000529	OG0000293	-	WP_003382082.1	DAKCFMEO_03549, DAKCFMEO_05177
N0.HOG0000530	OG0000294	-	WP_003382419.1, WP_080946640.1	DAKCFMEO_00798
N0.HOG0000531	OG0000295	-	WP_003382736.1	DAKCFMEO_04182, DAKCFMEO_00260
N0.HOG0000532	OG0000296	-	WP_003382778.1	DAKCFMEO_01111, DAKCFMEO_00884
N0.HOG0000533	OG0000297	-	WP_007246155.1, WP_003382858.1	DAKCFMEO_01168
N0.HOG0000534	OG0000298	-	WP_003383089.1	DAKCFMEO_02655, DAKCFMEO_03882
N0.HOG0000535	OG0000299	-	WP_054082654.1, WP_164923171.1, WP_003408269.1	
N0.HOG0000536	OG0000300	-	WP_003413692.1, WP_011105093.1	DAKCFMEO_03319
N0.HOG0000537	OG0000301	-	WP_003425054.1, WP_003425060.1	DAKCFMEO_03080
N0.HOG0000538	OG0000302	-	WP_057443118.1, WP_003425065.1	DAKCFMEO_03087
N0.HOG0000539	OG0000303	-	WP_004407132.1	DAKCFMEO_02816, DAKCFMEO_02817
N0.HOG0000540	OG0000304	-	WP_004655323.1	DAKCFMEO_01862, DAKCFMEO_04785
N0.HOG0000541	OG0000305	-	WP_005613644.1, WP_005771683.1	DAKCFMEO_03271
N0.HOG0000542	OG0000306	-	WP_005616037.1, WP_011105129.1	DAKCFMEO_03159
N0.HOG0000543	OG0000307	-	WP_005768541.1, WP_005616363.1	DAKCFMEO_02260
N0.HOG0000544	OG0000308	-	WP_005617359.1, WP_046463764.1	DAKCFMEO_00717
N0.HOG0000545	OG0000309	-	WP_005617711.1, WP_011104380.1	DAKCFMEO_01382
N0.HOG0000546	OG0000310	-	WP_005618920.1	DAKCFMEO_01450, DAKCFMEO_00988
N0.HOG0000547	OG0000311	-	WP_005620205.1	DAKCFMEO_00297, DAKCFMEO_00869
N0.HOG0000548	OG0000312	-	WP_005620808.1	DAKCFMEO_04405, DAKCFMEO_04870
N0.HOG0000549	OG0000313	-	WP_005621066.1	DAKCFMEO_05016, DAKCFMEO_04015
N0.HOG0000550	OG0000314	-	WP_005736419.1	DAKCFMEO_02982, DAKCFMEO_00197
N0.HOG0000551	OG0000315	-	WP_005736952.1	DAKCFMEO_04406, DAKCFMEO_05008
N0.HOG0000552	OG0000316	-	WP_005739893.1, WP_011103139.1	DAKCFMEO_01907
N0.HOG0000553	OG0000317	-	WP_005740056.1, WP_005770656.1	DAKCFMEO_04331
N0.HOG0000554	OG0000318	-	WP_005740602.1	DAKCFMEO_04056, DAKCFMEO_04508
N0.HOG0000555	OG0000319	-	WP_024667893.1, WP_005762392.1	DAKCFMEO_04386
N0.HOG0000556	OG0000320	-	WP_011103034.1, WP_005762416.1	DAKCFMEO_03800
N0.HOG0000557	OG0000321	-	WP_005762525.1	DAKCFMEO_00362, DAKCFMEO_03735
N0.HOG0000558	OG0000322	-	WP_005762628.1	DAKCFMEO_04587, DAKCFMEO_01159
N0.HOG0000559	OG0000323	-	WP_005762682.1, WP_005888835.1	DAKCFMEO_01107
N0.HOG0000560	OG0000324	-	WP_032710594.1, WP_005762770.1	DAKCFMEO_02336
N0.HOG0000561	OG0000325	-	WP_005762863.1	DAKCFMEO_00185, DAKCFMEO_00880
N0.HOG0000562	OG0000326	-	WP_005762877.1	DAKCFMEO_01380, DAKCFMEO_02449
N0.HOG0000563	OG0000327	-	WP_007244579.1, WP_005762963.1	DAKCFMEO_04950
N0.HOG0000564	OG0000328	-	WP_005762981.1	DAKCFMEO_04929, DAKCFMEO_04218
N0.HOG0000565	OG0000329	-	WP_005763051.1	DAKCFMEO_04404, DAKCFMEO_04869
N0.HOG0000566	OG0000330	-	WP_005763057.1, WP_011104271.1	DAKCFMEO_04862
N0.HOG0000567	OG0000331	-	WP_005763092.1, WP_005763320.1	DAKCFMEO_04844
N0.HOG0000568	OG0000332	-	WP_005763096.1	DAKCFMEO_00825, DAKCFMEO_04841
N0.HOG0000569	OG0000333	-	WP_005763186.1	DAKCFMEO_03644, DAKCFMEO_01073
N0.HOG0000570	OG0000334	-	WP_011103312.1, WP_005763248.1	DAKCFMEO_03614
N0.HOG0000571	OG0000335	-	WP_005763415.1	DAKCFMEO_00750, DAKCFMEO_05165
N0.HOG0000572	OG0000336	-	WP_005766614.1, WP_005763472.1	DAKCFMEO_01814
N0.HOG0000573	OG0000337	-	WP_005763515.1	DAKCFMEO_00877, DAKCFMEO_05114
N0.HOG0000574	OG0000338	-	WP_005763583.1	DAKCFMEO_03024, DAKCFMEO_02177
N0.HOG0000575	OG0000339	-	WP_005763597.1	DAKCFMEO_03831, DAKCFMEO_04977
N0.HOG0000576	OG0000340	-	WP_005763620.1	DAKCFMEO_02417, DAKCFMEO_05039
N0.HOG0000577	OG0000341	-	WP_005763632.1	DAKCFMEO_05035, DAKCFMEO_05033
N0.HOG0000578	OG0000342	-	WP_005763703.1	DAKCFMEO_02939, DAKCFMEO_01775
